Book_Name,Book_Published_Date,Book_Author,Book_Stock_availability,Book_Price,Book_Publisher,Book_Language,Book_Dimensions,Book_Catagory,Book_Second_Author
The Day the Crayons Quit,"Jun 27, 2013",Drew Daywalt,In Stock.,$12.59,"Philomel Books; 1st edition (June 27, 2013)",English,10.2 x 0.4 x 10.4 inches,Children's Art Fiction,
The Food Lab: Better Home Cooking Through Science,"Sep 21, 2015",J. Kenji López-Alt,In Stock.,$33.96,"W. W. Norton & Company; 1st edition (September 21, 2015)",English,10.8 x 8 x 1.8 inches,Potato Cooking,
Hamilton: The Revolution,"Apr 12, 2016",Lin-Manuel Miranda,In Stock.,$23.50,"Grand Central Publishing; First Edition edition (April 12, 2016)",English,8.9 x 1.6 x 10.6 inches,Broadway & Musicals,
Between the World and Me,"Jul 14, 2015",Ta-Nehisi Coates,In Stock.,$11.95,"Spiegel & Grau; 1 edition (July 14, 2015)",English,5.1 x 0.8 x 7.5 inches,Law Enforcement Biographies,
Evicted: Poverty and Profit in the American City,"Feb 28, 2017",Matthew Desmond,In Stock.,$6.97,"Broadway Books; Reprint edition (February 28, 2017)",English,5.2 x 1 x 8 inches,Sociology of Urban Areas,
Dune,"Sep 1, 1990",Frank Herbert,In Stock.,$8.08,"Ace (September 1, 1990)",English,4.3 x 1.9 x 7.6 inches,Space Operas,
Tequila Mockingbird: Cocktails with a Literary Twist,"Apr 23, 2013",Tim Federle,In Stock.,$7.34,"Running Press Adult (April 23, 2013)",English,5.2 x 0.8 x 7.4 inches,Language Humor,Lauren Mortimer
The Graveyard Book,"Sep 28, 2010",Neil Gaiman,In Stock.,$7.94,"HarperCollins; Reprint edition (August 1, 2010)",English,5.1 x 1 x 7.6 inches,Children's Spine-Chilling Horror,Dave McKean
All the Light We Cannot See,"May 6, 2014",Anthony Doerr,In Stock.,$9.93,Scribner (2014),English,6 x 1.7 x 9 inches,Contemporary Literature & Fiction,
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","Nov 9, 2010",Jeff Kinney,In Stock.,$6.00,"Harry N. Abrams; 1st Edition edition (November 9, 2010)",English,5.8 x 0.9 x 8.2 inches,Self-Help & Psychology Humor,
Life of Pi,"May 1, 2003",Yann Martel,In Stock.,$7.14,"Mariner Books (May 1, 2003)",English,8 x 5 x 0.9 inches,Sea Adventures Fiction,
"Dog Days (Diary of a Wimpy Kid, Book 4)","Oct 12, 2009",Jeff Kinney,In Stock.,$7.69,"Amulet Books; 1 edition (October 12, 2009)",English,5.5 x 0.9 x 8 inches,Children's Comics & Graphic Novels,
Deep Run Roots: Stories and Recipes from My Corner of the South,"Oct 4, 2016",Vivian Howard,In Stock.,$25.99,"Little, Brown and Company; y First edition edition (October 4, 2016)",English,8.4 x 2 x 10.2 inches,"Southern U.S. Cooking, Food & Wine",
The Sixth Extinction: An Unnatural History,"Jan 6, 2015",Elizabeth Kolbert,In Stock.,$10.87,"Picador; Reprint edition (January 6, 2015)",English,5.5 x 0.9 x 8.3 inches,Ecology,
Harry Potter And The Goblet Of Fire (Book 4),"Jul 8, 2000",J.K. Rowling and,In Stock.,$7.48,"Scholastic Press (August 1, 2000)",English,6.2 x 2.2 x 9.5 inches,Children's Orphans & Foster Homes Books,Mary GrandPré
The Pigeon Needs a Bath!,"Apr 1, 2014",Mo Willems,In Stock.,$11.93,Hyperion Books for Children; 1st Edition edition (2014),English,9.2 x 0.4 x 9.2 inches,Children's Bird Books,
Eleanor & Park,"Feb 26, 2013",Rainbow Rowell,In Stock.,$8.68,"St. Martin's Griffin (February 26, 2013)",English,5.9 x 1.2 x 8.4 inches,Teen & Young Adult Dating & Sex Fiction,
Liquid Intelligence: The Art and Science of the Perfect Cocktail,"Nov 10, 2014",Dave Arnold,In Stock.,$25.21,"W. W. Norton & Company; 1 edition (November 10, 2014)",English,8.3 x 1.2 x 10.3 inches,Alcoholic Spirits,
Zahav: A World of Israeli Cooking,"Oct 6, 2015",Michael Solomonov and,In Stock.,$14.28,"Rux Martin/Houghton Mifflin Harcourt (October 6, 2015)",English,9 x 1.3 x 11 inches,"Middle Eastern Cooking, Food & Wine",Steven Cook
The Sympathizer: A Novel (Pulitzer Prize for Fiction),"Apr 12, 2016",Viet Thanh Nguyen,In Stock.,$9.99,"Grove Press; Reprint edition (April 12, 2016)",English,5.4 x 1.2 x 8 inches,Asian American Literature & Fiction,
Make It Ahead: A Barefoot Contessa Cookbook,"Oct 28, 2014",Ina Garten,In Stock.,$13.98,"Clarkson Potter; 1st Edition edition (October 28, 2014)",English,7.7 x 0.8 x 10.3 inches,Thanksgiving Cooking,
Steve Jobs,"Oct 24, 2011",Walter Isaacson,In Stock.,$4.98,"Simon & Schuster; 1 edition (October 24, 2011)",English,6.1 x 1.9 x 9.2 inches,Computer & Technology Biographies,
Starship Troopers,"May 15, 1987",Robert A. Heinlein,In Stock.,$6.25,"Ace (May 15, 1987)",English,4.2 x 0.9 x 7.6 inches,Space Marine Science Fiction,
Quiet: The Power of Introverts in a World That Can't Stop Talking,"Jan 24, 2012",Susan Cain,In Stock.,$11.75,"Crown; 1 edition (January 24, 2012)",English,6.4 x 1.1 x 9.5 inches,Communication & Media Studies,
The Pioneer Woman Cooks: Food from My Frontier,"Mar 13, 2012",Ree Drummond,In Stock.,$12.18,"William Morrow Cookbooks; 1 edition (March 13, 2012)",English,8 x 1 x 10 inches,"Southwestern U.S. Cooking, Food & Wine",
The Fifth Season (The Broken Earth),"Aug 4, 2015",N. K. Jemisin,,$13.49,"Orbit; Reprint edition (August 4, 2015)",English,5.4 x 1.2 x 8.2 inches,African American Fantasy Fiction,
Bread Illustrated: A Step-By-Step Guide to Achieving Bakery-Quality Results At Home,"Sep 6, 2016",America's Test Kitchen,In Stock.,$16.99,"America's Test Kitchen; Illustrated edition (September 6, 2016)",English,8.5 x 0.9 x 10 inches,Gourmet Cooking,
The God of Small Things: A Novel,"Dec 16, 2008",Arundhati Roy,In Stock.,$13.60,"Random House Trade Paperbacks; Reprint edition (December 16, 2008)",English,5.1 x 0.7 x 8 inches,Indian Literature,
The Remains of the Day,"Sep 12, 1990",Kazuo Ishiguro,In Stock.,$8.29,"Vintage International; 1st edition (September 12, 1990)",English,5.2 x 0.6 x 7.9 inches,Historical British & Irish Literature,
Uprooted: A Novel,"Mar 1, 2016",Naomi Novik,In Stock.,$9.74,"Del Rey; Reprint edition (March 1, 2016)",English,5.5 x 1 x 8.2 inches,Mythology & Folk Tales,
Ms. Marvel Volume 1: No Normal,"Oct 28, 2014",G. Willow Wilson and,In Stock.,$9.66,"Marvel (October 28, 2014)",English,6.6 x 0.2 x 10.2 inches,Mystery Graphic Novels,Adrian Alphona
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),"Jun 18, 2015",E L James,In Stock.,$8.69,"Vintage (June 18, 2015)",English,5.2 x 1 x 8 inches,Urban Erotica,
Sweat (TCG Edition),"Jun 13, 2017",Lynn Nottage,In Stock.,$12.86,"Theatre Communications Group (June 13, 2017)",English,5.5 x 0.5 x 8.5 inches,African American Dramas & Plays,
