"Book_Name","Book_Published_Date","Book_Author","Book_Image","Book_Stock_availability","Book_Price","Book_Publisher","Book_Language","Book_Dimensions","Book_Catagory","Book_Second_Author"
"The Food Lab: Better Home Cooking Through Science","Sep 21, 2015","J. Kenji López-Alt","https://images-na.ssl-images-amazon.com/images/I/41ufhLxL-TL._AC_US218_.jpg","In Stock.","$33.96","W. W. Norton & Company; 1st edition (September 21, 2015)","English","10.8 x 8 x 1.8 inches","Potatoes",""
"The Day the Crayons Quit","Jun 27, 2013","Drew Daywalt","https://images-na.ssl-images-amazon.com/images/I/51JNz57DqLL._AC_US218_.jpg","In Stock.","$11.33","Philomel Books; 1st edition (June 27, 2013)","English","10.2 x 0.4 x 10.4 inches","Fiction",""
"Hamilton: The Revolution","Apr 12, 2016","Lin-Manuel Miranda","https://images-na.ssl-images-amazon.com/images/I/41CCiE1aWuL._AC_US218_.jpg","In Stock.","$20.95","Grand Central Publishing; First Edition edition (April 12, 2016)","English","8.9 x 1.6 x 10.6 inches","Broadway & Musicals",""
"Between the World and Me","Jul 14, 2015","Ta-Nehisi Coates","https://images-na.ssl-images-amazon.com/images/I/51ndtpPOGTL._AC_US218_.jpg","In Stock.","$13.59","Spiegel & Grau; 1 edition (July 14, 2015)","English","5.1 x 0.8 x 7.5 inches","Discrimination & Racism",""
"Evicted: Poverty and Profit in the American City","Feb 28, 2017","Matthew Desmond","https://images-na.ssl-images-amazon.com/images/I/41e6mYmQfYL._AC_US218_.jpg","In Stock.","$5.95","Broadway Books; Reprint edition (February 28, 2017)","English","5.2 x 1 x 8 inches","Urban",""
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","Nov 9, 2010","Jeff Kinney","https://images-na.ssl-images-amazon.com/images/I/511JS7eYuOL._AC_US218_.jpg","In Stock.","$6.00","Harry N. Abrams; 1st Edition edition (November 9, 2010)","English","5.8 x 0.9 x 8.2 inches","Self-Help & Psychology",""
"Tequila Mockingbird: Cocktails with a Literary Twist","Apr 23, 2013","Tim Federle","https://images-na.ssl-images-amazon.com/images/I/512KNlhm6aL._AC_US218_.jpg","In Stock.","$6.99","Running Press Adult (April 23, 2013)","English","5.2 x 0.8 x 7.4 inches","Spirits","Lauren Mortimer"
"Dune","Sep 1, 1990","Frank Herbert","https://images-na.ssl-images-amazon.com/images/I/41dYX+WUkaL._AC_US218_.jpg","In Stock.","$8.99","Ace (September 1, 1990)","English","4.3 x 1.9 x 7.6 inches","",""
"All the Light We Cannot See","May 6, 2014","Anthony Doerr","https://images-na.ssl-images-amazon.com/images/I/51wG7x-S+0L._AC_US218_.jpg","In Stock.","$9.70","Scribner (2014)","English","6 x 1.7 x 9 inches","Contemporary",""
"Dog Days (Diary of a Wimpy Kid, Book 4)","Oct 12, 2009","Jeff Kinney","https://images-na.ssl-images-amazon.com/images/I/51C9zeyCMCL._AC_US218_.jpg","In Stock.","$7.69","Amulet Books; 1 edition (October 12, 2009)","English","5.5 x 0.9 x 8 inches","Comics & Graphic Novels",""
"Life of Pi","May 1, 2003","Yann Martel","https://images-na.ssl-images-amazon.com/images/I/51rxEvLljUL._AC_US218_.jpg","In Stock.","$7.36","Mariner Books (May 1, 2003)","English","8 x 5 x 0.9 inches","Sea Adventures",""
"Deep Run Roots: Stories and Recipes from My Corner of the South","Oct 4, 2016","Vivian Howard","https://images-na.ssl-images-amazon.com/images/I/61gjNJsvHSL._AC_US218_.jpg","In Stock.","$26.22","Little, Brown and Company; y First edition edition (October 4, 2016)","English","8.4 x 2 x 10.2 inches","Southern",""
"The Graveyard Book","Sep 28, 2010","Neil Gaiman and","https://images-na.ssl-images-amazon.com/images/I/51tAOAlaH7L._AC_US218_.jpg","In Stock.","$6.99","HarperCollins; Reprint edition (August 1, 2010)","English","5.1 x 1 x 7.6 inches","Ghosts","Dave McKean"
"Make It Ahead: A Barefoot Contessa Cookbook","Oct 28, 2014","Ina Garten","https://images-na.ssl-images-amazon.com/images/I/51pbU9nqDgL._AC_US218_.jpg","In Stock.","$12.71","Clarkson Potter; 1st Edition edition (October 28, 2014)","English","7.7 x 0.8 x 10.3 inches","Thanksgiving",""
"Harry Potter And The Goblet Of Fire (Book 4)","Jul 8, 2000","J.K. Rowling and","https://images-na.ssl-images-amazon.com/images/I/51gy+g8Z+1L._AC_US218_.jpg","In Stock.","$7.48","Scholastic Press (August 1, 2000)","English","6.2 x 2.2 x 9.5 inches","Orphans & Foster Homes","Mary GrandPré"
"The Sixth Extinction: An Unnatural History","Jan 6, 2015","Elizabeth Kolbert","https://images-na.ssl-images-amazon.com/images/I/513qCLaP5sL._AC_US218_.jpg","In Stock.","$9.64","Picador; Reprint edition (January 6, 2015)","English","5.5 x 0.9 x 8.3 inches","Environmental Science",""
"Eleanor & Park","Feb 26, 2013","Rainbow Rowell","https://images-na.ssl-images-amazon.com/images/I/41yMNepSxpL._AC_US218_.jpg","In Stock.","$8.75","St. Martin's Griffin (February 26, 2013)","English","5.9 x 1.2 x 8.4 inches","Dating & Sex",""
"The Pigeon Needs a Bath!","Apr 1, 2014","Mo Willems","https://images-na.ssl-images-amazon.com/images/I/51Cf6tNKCSL._AC_US218_.jpg","In Stock.","$10.48","Hyperion Books for Children; 1st Edition edition (2014)","English","9.2 x 0.4 x 9.2 inches","Birds",""
"Steve Jobs","Oct 24, 2011","Walter Isaacson","https://images-na.ssl-images-amazon.com/images/I/41dKkez-1rL._AC_US218_.jpg","In Stock.","$9.23","Simon & Schuster; 1 edition (October 24, 2011)","English","6.1 x 1.9 x 9.2 inches","Computers & Technology",""
"The Sympathizer: A Novel (Pulitzer Prize for Fiction)","Apr 12, 2016","Viet Thanh Nguyen","https://images-na.ssl-images-amazon.com/images/I/518LdNuHDJL._AC_US218_.jpg","In Stock.","$9.99","Grove Press; Reprint edition (April 12, 2016)","English","5.4 x 1.2 x 8 inches","Asian American",""
