Book_Name,Book_Published_Date,First_Author,Book_Authors,Book_Image,Book_Price,Book_Publisher 1 1,Book_Dimensions,Book_Catagory
The Food Lab: Better Home Cooking Through Science,"Sep 21, 2015",J. Kenji López-Alt,J. Kenji López-Alt,https://images-na.ssl-images-amazon.com/images/I/41ufhLxL-TL._AC_US218_.jpg,$33.96,W. W. Norton & Company,10.8 x 8 x 1.8 inches,Potatoes
The Day the Crayons Quit,"Jun 27, 2013",Drew Daywalt,Drew Daywalt,https://images-na.ssl-images-amazon.com/images/I/51JNz57DqLL._AC_US218_.jpg,$11.33,Philomel Books,10.2 x 0.4 x 10.4 inches,Fiction
Hamilton: The Revolution,"Apr 12, 2016",Lin-Manuel Mira,Lin-Manuel Mira,https://images-na.ssl-images-amazon.com/images/I/41CCiE1aWuL._AC_US218_.jpg,$20.95,Grand Central Publishing,8.9 x 1.6 x 10.6 inches,Broadway & Musicals
Between the World and Me,"Jul 14, 2015",Ta-Nehisi Coates,Ta-Nehisi Coates,https://images-na.ssl-images-amazon.com/images/I/51ndtpPOGTL._AC_US218_.jpg,$13.59,Spiegel & Grau,5.1 x 0.8 x 7.5 inches,Discrimination & Racism
Evicted: Poverty and Profit in the American City,"Feb 28, 2017",Matthew Desmond,Matthew Desmond,https://images-na.ssl-images-amazon.com/images/I/41e6mYmQfYL._AC_US218_.jpg,$5.95,Broadway Books,5.2 x 1 x 8 inches,Urban
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","Nov 9, 2010",Jeff Kinney,Jeff Kinney,https://images-na.ssl-images-amazon.com/images/I/511JS7eYuOL._AC_US218_.jpg,$6.00,Harry N. Abrams,5.8 x 0.9 x 8.2 inches,Self-Help & Psychology
Tequila Mockingbird: Cocktails with a Literary Twist,"Apr 23, 2013",Tim Federle,Tim Federle; Lauren Mortimer,https://images-na.ssl-images-amazon.com/images/I/512KNlhm6aL._AC_US218_.jpg,$6.99,Running Press Adult ,5.2 x 0.8 x 7.4 inches,Spirits
All the Light We Cannot See,"May 6, 2014",Anthony Doerr,Anthony Doerr,https://images-na.ssl-images-amazon.com/images/I/51wG7x-S+0L._AC_US218_.jpg,$9.70,Scribner ,6 x 1.7 x 9 inches,Contemporary
"Dog Days (Diary of a Wimpy Kid, Book 4)","Oct 12, 2009",Jeff Kinney,Jeff Kinney,https://images-na.ssl-images-amazon.com/images/I/51C9zeyCMCL._AC_US218_.jpg,$7.69,Amulet Books,5.5 x 0.9 x 8 inches,Comics & Graphic Novels
Life of Pi,"May 1, 2003",Yann Martel,Yann Martel,https://images-na.ssl-images-amazon.com/images/I/51rxEvLljUL._AC_US218_.jpg,$7.36,Mariner Books ,8 x 5 x 0.9 inches,Sea Adventures
Deep Run Roots: Stories and Recipes from My Corner of the South,"Oct 4, 2016",Vivian Howard,Vivian Howard,https://images-na.ssl-images-amazon.com/images/I/61gjNJsvHSL._AC_US218_.jpg,$26.22,"Little, Brown and Company",8.4 x 2 x 10.2 inches,Southern
The Graveyard Book,"Sep 28, 2010",Neil Gaiman ,Neil Gaiman ; Dave McKean,https://images-na.ssl-images-amazon.com/images/I/51tAOAlaH7L._AC_US218_.jpg,$6.99,HarperCollins,5.1 x 1 x 7.6 inches,Ghosts
Make It Ahead: A Barefoot Contessa Cookbook,"Oct 28, 2014",Ina Garten,Ina Garten,https://images-na.ssl-images-amazon.com/images/I/51pbU9nqDgL._AC_US218_.jpg,$12.71,Clarkson Potter,7.7 x 0.8 x 10.3 inches,Thanksgiving
Harry Potter And The Goblet Of Fire (Book 4),"Jul 8, 2000",J.K. Rowling ,J.K. Rowling ; Mary GrandPré,https://images-na.ssl-images-amazon.com/images/I/51gy+g8Z+1L._AC_US218_.jpg,$7.48,Scholastic Press ,6.2 x 2.2 x 9.5 inches,Orphans & Foster Homes
The Sixth Extinction: An Unnatural History,"Jan 6, 2015",Elizabeth Kolbert,Elizabeth Kolbert,https://images-na.ssl-images-amazon.com/images/I/513qCLaP5sL._AC_US218_.jpg,$9.64,Picador,5.5 x 0.9 x 8.3 inches,Environmental Science
Eleanor & Park,"Feb 26, 2013",Rainbow Rowell,Rainbow Rowell,https://images-na.ssl-images-amazon.com/images/I/41yMNepSxpL._AC_US218_.jpg,$8.75,St. Martin's Griffin ,5.9 x 1.2 x 8.4 inches,Dating & Sex
The Pigeon Needs a Bath!,"Apr 1, 2014",Mo Willems,Mo Willems,https://images-na.ssl-images-amazon.com/images/I/51Cf6tNKCSL._AC_US218_.jpg,$10.48,Hyperion Books for Children,9.2 x 0.4 x 9.2 inches,Birds
Steve Jobs,"Oct 24, 2011",Walter Isaacson,Walter Isaacson,https://images-na.ssl-images-amazon.com/images/I/41dKkez-1rL._AC_US218_.jpg,$9.23,Simon & Schuster,6.1 x 1.9 x 9.2 inches,Computers & Technology
The Sympathizer: A Novel (Pulitzer Prize for Fiction),"Apr 12, 2016",Viet Thanh Nguyen,Viet Thanh Nguyen,https://images-na.ssl-images-amazon.com/images/I/518LdNuHDJL._AC_US218_.jpg,$9.99,Grove Press,5.4 x 1.2 x 8 inches,Asian American
Liquid Intelligence: The Art and Science of the Perfect Cocktail,"Nov 10, 2014",Dave Arnold,Dave Arnold,https://images-na.ssl-images-amazon.com/images/I/41CRyYdhrkL._AC_US218_.jpg,$25.29,W. W. Norton & Company,8.3 x 1.2 x 10.3 inches,Cocktails & Mixed Drinks
Zahav: A World of Israeli Cooking,"Oct 6, 2015",Michael Solomonov ,Michael Solomonov ; Steven Cook,https://images-na.ssl-images-amazon.com/images/I/61cm1q7oJ7L._AC_US218_.jpg,$19.99,Rux Martin/Houghton Mifflin Harcourt ,9 x 1.3 x 11 inches,Middle Eastern
The Fifth Season (The Broken Earth),"Aug 4, 2015",N. K. Jemisin,N. K. Jemisin,https://images-na.ssl-images-amazon.com/images/I/61XfS2XCw3L._AC_US218_.jpg,$10.87,Orbit,5.4 x 1.2 x 8.2 inches,Fantasy
The Pioneer Woman Cooks: Food from My Frontier,"Mar 13, 2012",Ree Drummond,Ree Drummond,https://images-na.ssl-images-amazon.com/images/I/61e-3+vIU-L._AC_US218_.jpg,$12.85,William Morrow Cookbooks,8 x 1 x 10 inches,Southwestern
Quiet: The Power of Introverts in a World That Can't Stop Talking,"Jan 24, 2012",Susan Cain,Susan Cain,https://images-na.ssl-images-amazon.com/images/I/41Fl9hWHPOL._AC_US218_.jpg,$12.25,Crown,6.4 x 1.1 x 9.5 inches,Communication
